GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,ComputationTimes(Copy (ms)),ComputationTimes(Agent),ComputationTimes(Actions Available Compute (ms)),ComputationTimes(Player),ComputationTimes(Next (ms)),ComputationTimes(Agent (ms)),FavoredCards(Discarded card),FavoredCards(Favored Cards)
1092153749,StirFry18,0,ACTION_TAKEN,42,13,4,2,0.0917,mcts,0.0055,1,0.0012,37.5196,,
1092153749,StirFry18,0,ACTION_TAKEN,43,13,4,2,0.0625,mcts,0.0042,1,0.0051,46.686,CHICKEN,MUSHROOMS-MUSHROOMS-PORK-SOY_SAUCE-
1092153749,StirFry18,0,ACTION_TAKEN,44,13,4,2,0.1196,mcts,0.0046,1,0.0016,41.2292,PORK,MUSHROOMS-MUSHROOMS-SOY_SAUCE-
1092153749,StirFry18,0,ACTION_TAKEN,45,14,4,2,0.1283,mcts,0.0019,1,0.0055,41.2292,,
1092153749,StirFry18,0,ACTION_TAKEN,46,14,4,2,0.0339,mcts,0.0047,2,0.0148,39.1595,,
1092153749,StirFry18,0,ACTION_TAKEN,47,14,4,2,0.1732,mcts,0.0104,2,0.0024,44.6462,,
1092153749,StirFry18,0,ACTION_TAKEN,48,14,4,2,0.0829,mcts,0.0069,2,0.0069,34.2679,,
1092153749,StirFry18,0,ACTION_TAKEN,49,14,4,2,0.076,mcts,0.0015,2,8.0E-4,34.2679,,
1092153749,StirFry18,0,ACTION_TAKEN,50,15,4,2,0.0495,mcts,0.0011,2,0.0147,34.2679,,
1092153749,StirFry18,0,ACTION_TAKEN,51,15,4,2,0.0302,mcts,0.0069,3,0.0051,32.6661,,
1092153749,StirFry18,0,ACTION_TAKEN,52,15,4,2,0.079,mcts,0.0018,3,0.0015,32.6661,,
1092153749,StirFry18,0,ACTION_TAKEN,53,16,4,2,0.0358,mcts,0.0013,3,0.0048,32.6661,,
1092153749,StirFry18,0,ACTION_TAKEN,54,16,4,2,0.031,mcts,0.0037,0,0.0014,40.8863,,
1092153749,StirFry18,0,ACTION_TAKEN,55,16,4,2,0.079,mcts,0.0035,0,0.0022,37.7078,GINGER,GINGER-GREEN_ONION-SHRIMP-
1092153749,StirFry18,0,ACTION_TAKEN,56,17,4,2,0.0588,mcts,0.0013,0,0.0043,37.7078,,
1092153749,StirFry18,0,ACTION_TAKEN,57,17,4,2,0.0275,mcts,0.0029,1,0.0031,41.0542,,
1092153749,StirFry18,0,ACTION_TAKEN,58,17,4,2,0.055,mcts,0.0068,1,0.0032,43.6659,,
1092153749,StirFry18,0,ACTION_TAKEN,59,17,4,2,0.0634,mcts,0.0049,1,0.0049,39.4358,,
1092153749,StirFry18,0,ACTION_TAKEN,60,17,4,2,0.0382,mcts,0.0017,1,0.0011,39.4358,,
1092153749,StirFry18,0,ACTION_TAKEN,61,18,4,2,0.0187,mcts,8.0E-4,1,0.0038,39.4358,,
1092153749,StirFry18,0,ACTION_TAKEN,62,18,4,2,0.0181,mcts,0.0029,2,0.0015,38.9868,,
1092153749,StirFry18,0,ACTION_TAKEN,63,19,4,2,0.0595,mcts,0.0014,2,0.0038,38.9868,,
1092153749,StirFry18,0,ACTION_TAKEN,64,19,4,2,0.0209,mcts,0.0014,3,0.0032,39.0444,,
1092153749,StirFry18,0,ACTION_TAKEN,65,19,4,2,0.038,mcts,0.0043,3,0.0015,37.8913,,
1092153749,StirFry18,0,ACTION_TAKEN,66,20,4,2,0.0542,mcts,0.0015,3,0.0038,37.8913,,
1092153749,StirFry18,0,ACTION_TAKEN,67,20,4,2,0.0185,mcts,0.0021,0,0.0035,38.2621,,
1092153749,StirFry18,0,ACTION_TAKEN,68,20,4,2,0.0758,mcts,0.0027,0,0.0026,37.3793,,
1092153749,StirFry18,0,ACTION_TAKEN,69,20,4,2,0.0949,mcts,1.376,0,0.0047,37.8201,,
1092153749,StirFry18,0,ACTION_TAKEN,70,20,4,2,0.0332,mcts,0.0024,0,9.0E-4,37.8201,,
1092153749,StirFry18,0,ACTION_TAKEN,71,21,4,2,0.0152,mcts,8.0E-4,0,0.0043,37.8201,,
1092153749,StirFry18,0,ACTION_TAKEN,72,21,4,2,0.0151,mcts,0.0046,1,0.0048,37.685,,
1092153749,StirFry18,0,ACTION_TAKEN,73,21,4,2,0.0545,mcts,0.0018,1,0.0012,37.685,,
1092153749,StirFry18,0,ACTION_TAKEN,74,22,4,2,0.0181,mcts,8.0E-4,1,0.0046,37.685,,
1092153749,StirFry18,0,ACTION_TAKEN,75,22,4,2,0.0184,mcts,0.0079,2,0.0036,48.392,,
1092153749,StirFry18,0,ACTION_TAKEN,76,22,4,2,0.0494,mcts,0.0068,2,0.0045,38.7735,,
1092153749,StirFry18,0,ACTION_TAKEN,77,22,4,2,0.0339,mcts,0.0021,2,0.0025,38.3397,,
1092153749,StirFry18,0,ACTION_TAKEN,78,22,4,2,0.0246,mcts,0.0015,2,0.0011,38.3397,,
1092153749,StirFry18,0,ACTION_TAKEN,79,23,4,2,0.0123,mcts,8.0E-4,2,0.0034,38.3397,,
1092153749,StirFry18,0,ACTION_TAKEN,80,23,4,2,0.0141,mcts,0.0039,3,0.004,38.1135,,
1092153749,StirFry18,0,ACTION_TAKEN,81,23,4,2,0.0311,mcts,0.0013,3,0.001,38.1135,,
1092153749,StirFry18,0,ACTION_TAKEN,82,24,4,2,0.0146,mcts,8.0E-4,3,0.0036,38.1135,,
1092153749,StirFry18,0,ACTION_TAKEN,83,24,4,2,0.0138,mcts,0.0015,0,3.0E-4,38.1135,,
1092153749,StirFry18,0,ACTION_TAKEN,84,25,4,2,0.0145,mcts,8.0E-4,0,0.0017,38.1135,,
1092153749,StirFry18,0,ACTION_TAKEN,85,25,4,2,0.0137,mcts,0.0011,1,6.0E-4,38.1135,,
1092153749,StirFry18,0,ACTION_TAKEN,86,26,4,2,0.0125,mcts,0.0203,1,0.0016,38.1135,,
1092153749,StirFry18,0,ACTION_TAKEN,87,26,4,2,0.0137,mcts,0.0045,2,0.0036,38.1567,,
1092153749,StirFry18,0,ACTION_TAKEN,88,26,4,2,0.0442,mcts,0.0022,2,0.0014,38.1567,,
1092153749,StirFry18,0,ACTION_TAKEN,89,27,4,2,0.0182,mcts,8.0E-4,2,0.0049,38.1567,,
1092153749,StirFry18,0,ACTION_TAKEN,90,27,4,2,0.0185,mcts,0.0027,3,5.0E-4,38.1567,,
1092153749,StirFry18,0,ACTION_TAKEN,91,28,4,2,0.0163,mcts,6.0E-4,3,0.002,38.1567,,
1092153749,StirFry18,0,ACTION_TAKEN,92,28,4,2,0.0142,mcts,0.0035,0,0.0033,38.2319,,
1092153749,StirFry18,0,ACTION_TAKEN,93,28,4,2,0.031,mcts,9.0E-4,0,9.0E-4,38.2319,,
1092153749,StirFry18,0,ACTION_TAKEN,94,29,4,2,0.0141,mcts,7.0E-4,0,0.0032,38.2319,,
1092153749,StirFry18,0,ACTION_TAKEN,95,29,4,2,0.0133,mcts,0.0013,1,0.0032,38.2655,,
1092153749,StirFry18,0,ACTION_TAKEN,96,30,4,2,0.0629,mcts,0.0022,1,0.0067,38.2655,,
1092153749,StirFry18,0,ACTION_TAKEN,97,30,4,2,0.0147,mcts,0.0029,2,0.0028,38.2863,,
1092153749,StirFry18,0,ACTION_TAKEN,98,30,4,2,0.0436,mcts,0.0016,2,0.0015,38.2863,,
1092153749,StirFry18,0,ACTION_TAKEN,99,31,4,2,0.0185,mcts,7.0E-4,2,0.0063,38.2863,,
1092153749,StirFry18,0,ACTION_TAKEN,100,31,4,2,0.0139,mcts,0.0029,3,0.0045,39.9729,,
1092153749,StirFry18,0,ACTION_TAKEN,101,31,4,2,0.0485,mcts,0.0057,3,0.0037,38.3905,,
1092153749,StirFry18,0,ACTION_TAKEN,102,31,4,2,0.042,mcts,0.0012,3,0.0011,38.3905,,
1092153749,StirFry18,0,ACTION_TAKEN,103,32,4,2,0.0143,mcts,7.0E-4,3,0.0044,38.3905,,
1092153749,StirFry18,0,ACTION_TAKEN,104,32,4,2,0.0155,mcts,0.0021,0,4.0E-4,38.3905,,
