Measure,Count,sum,Mean,Min,Max,Range,Variance,Std. Dev
SOY_SAUCE,30.0,58.0,1.9333333333333333,0.0,4.0,4.0,1.167816091954023,1.0806553992619585
GREEN_ONION,30.0,50.0,1.666666666666667,0.0,6.0,6.0,2.160919540229885,1.4700066463216706
MUSHROOMS,30.0,50.0,1.6666666666666667,0.0,6.0,6.0,2.022988505747126,1.422318004437519
GINGER,30.0,48.0,1.6000000000000003,0.0,5.0,5.0,1.6965517241379309,1.302517456365914
NOODLES,30.0,41.0,1.366666666666667,0.0,4.0,4.0,0.9988505747126436,0.9994251221140299
CHICKEN,30.0,13.0,0.4333333333333333,0.0,2.0,2.0,0.3229885057471264,0.5683207771559354
PORK,30.0,8.0,0.2666666666666667,0.0,2.0,2.0,0.2712643678160919,0.5208304597621878
SHRIMP,30.0,8.0,0.26666666666666666,0.0,1.0,1.0,0.20229885057471267,0.44977644510880366
