Measure,Count,sum,Mean,Min,Max,Range,Variance,Std. Dev
Ingredient Action,30.0,354.0,11.799999999999999,7.0,18.0,11.0,9.820689655172416,3.133797960171079
Protein Action,30.0,326.0,10.866666666666669,6.0,16.0,10.0,5.016091954022988,2.2396633572979194
End of Turn,30.0,276.0,9.2,2.0,16.0,14.0,11.958620689655174,3.4581238684661333
