Measure,Count,sum,Mean,Min,Max,Range,Variance,Std. Dev
NOODLES,30.0,200.0,6.666666666666666,4.0,11.0,7.0,3.264367816091954,1.8067561584486032
SOY_SAUCE,30.0,138.0,4.600000000000001,1.0,8.0,7.0,3.006896551724139,1.7340405277052031
CHICKEN,30.0,121.0,4.033333333333333,1.0,7.0,6.0,3.3436781609195396,1.828572711411701
SHRIMP,30.0,119.0,3.966666666666667,0.0,8.0,8.0,4.585057471264368,2.141274730450151
MUSHROOMS,30.0,119.0,3.966666666666667,1.0,9.0,8.0,4.516091954022988,2.1251098686945546
PORK,30.0,115.0,3.8333333333333335,1.0,8.0,7.0,2.971264367816093,1.7237355852380878
GREEN_ONION,30.0,73.0,2.433333333333333,0.0,6.0,6.0,3.0816091954022986,1.75545127970055
GINGER,30.0,71.0,2.3666666666666663,0.0,6.0,6.0,2.5160919540229885,1.5862193902556445
